id_unidad,nivel
181,INICIAL EN FAMILIA COMUNITARIA
181,PRIMARIA COMUNITARIA VOCACIONAL
182,SECUNDARIA COMUNITARIA PRODUCTIVA
183,INICIAL EN FAMILIA COMUNITARIA
183,PRIMARIA COMUNITARIA VOCACIONAL
184,INICIAL EN FAMILIA COMUNITARIA
184,PRIMARIA COMUNITARIA VOCACIONAL
185,SECUNDARIA COMUNITARIA PRODUCTIVA
186,INICIAL EN FAMILIA COMUNITARIA
186,PRIMARIA COMUNITARIA VOCACIONAL
186,SECUNDARIA COMUNITARIA PRODUCTIVA
187,INICIAL EN FAMILIA COMUNITARIA
187,PRIMARIA COMUNITARIA VOCACIONAL
188,INICIAL EN FAMILIA COMUNITARIA
189,SECUNDARIA COMUNITARIA PRODUCTIVA
190,INICIAL EN FAMILIA COMUNITARIA
190,PRIMARIA COMUNITARIA VOCACIONAL
190,SECUNDARIA COMUNITARIA PRODUCTIVA
191,INICIAL EN FAMILIA COMUNITARIA
191,PRIMARIA COMUNITARIA VOCACIONAL
191,SECUNDARIA COMUNITARIA PRODUCTIVA
192,INICIAL EN FAMILIA COMUNITARIA
192,PRIMARIA COMUNITARIA VOCACIONAL
193,SECUNDARIA COMUNITARIA PRODUCTIVA
194,INICIAL EN FAMILIA COMUNITARIA
194,PRIMARIA COMUNITARIA VOCACIONAL
195,INICIAL EN FAMILIA COMUNITARIA
195,PRIMARIA COMUNITARIA VOCACIONAL
195,SECUNDARIA COMUNITARIA PRODUCTIVA
196,INICIAL EN FAMILIA COMUNITARIA
197,INICIAL EN FAMILIA COMUNITARIA
198,INICIAL EN FAMILIA COMUNITARIA
199,INICIAL EN FAMILIA COMUNITARIA
200,INICIAL EN FAMILIA COMUNITARIA
200,PRIMARIA COMUNITARIA VOCACIONAL
200,SECUNDARIA COMUNITARIA PRODUCTIVA
201,PRIMARIA COMUNITARIA VOCACIONAL
201,SECUNDARIA COMUNITARIA PRODUCTIVA
202,INICIAL EN FAMILIA COMUNITARIA
202,PRIMARIA COMUNITARIA VOCACIONAL
203,INICIAL EN FAMILIA COMUNITARIA
203,PRIMARIA COMUNITARIA VOCACIONAL
204,SECUNDARIA COMUNITARIA PRODUCTIVA
205,INICIAL EN FAMILIA COMUNITARIA
205,PRIMARIA COMUNITARIA VOCACIONAL
205,SECUNDARIA COMUNITARIA PRODUCTIVA
206,INICIAL EN FAMILIA COMUNITARIA
206,PRIMARIA COMUNITARIA VOCACIONAL
206,SECUNDARIA COMUNITARIA PRODUCTIVA
207,INICIAL EN FAMILIA COMUNITARIA
207,PRIMARIA COMUNITARIA VOCACIONAL
208,SECUNDARIA COMUNITARIA PRODUCTIVA
209,INICIAL EN FAMILIA COMUNITARIA
209,PRIMARIA COMUNITARIA VOCACIONAL
210,SECUNDARIA COMUNITARIA PRODUCTIVA
211,INICIAL EN FAMILIA COMUNITARIA
211,PRIMARIA COMUNITARIA VOCACIONAL
211,SECUNDARIA COMUNITARIA PRODUCTIVA
212,INICIAL EN FAMILIA COMUNITARIA
212,PRIMARIA COMUNITARIA VOCACIONAL
212,SECUNDARIA COMUNITARIA PRODUCTIVA
213,INICIAL EN FAMILIA COMUNITARIA
213,PRIMARIA COMUNITARIA VOCACIONAL
213,SECUNDARIA COMUNITARIA PRODUCTIVA
214,INICIAL EN FAMILIA COMUNITARIA
214,PRIMARIA COMUNITARIA VOCACIONAL
215,SECUNDARIA COMUNITARIA PRODUCTIVA
216,INICIAL EN FAMILIA COMUNITARIA
216,PRIMARIA COMUNITARIA VOCACIONAL
216,SECUNDARIA COMUNITARIA PRODUCTIVA
217,INICIAL EN FAMILIA COMUNITARIA
217,PRIMARIA COMUNITARIA VOCACIONAL
218,INICIAL EN FAMILIA COMUNITARIA
218,PRIMARIA COMUNITARIA VOCACIONAL
218,SECUNDARIA COMUNITARIA PRODUCTIVA
219,INICIAL EN FAMILIA COMUNITARIA
219,PRIMARIA COMUNITARIA VOCACIONAL
219,SECUNDARIA COMUNITARIA PRODUCTIVA
