id_unidad,nombre_unidad,dependencia,tipo,zona,direccion,latitud,longitud,telefono_fijo,telefono_celular,distrito
284,HABANA CUBA,FISCAL,EDUCACIÓN REGULAR,URBANIZACION BAUTISTA SAAVEDRA UNIDAD VECINAL J,AVENIDA CARLOS PALENQUE Nº 1382,-16.4953874,-68.24382722,,,14.0
285,DANIEL SANCHEZ BUSTAMANTE EL ALTO,PRIVADA,EDUCACIÓN REGULAR,BALLIVIAN VILLA YUNGUYO,AV. MIGUEL ABADIA Y MÉNDEZ No. 240,-16.49169922,-68.21829987,,,4.0
286,REAL DEL SUR,PRIVADA,EDUCACIÓN REGULAR,VILLA ESTHER,AVENIDA JULIO CESAR VALDEZ Nro 2160,-16.52837827,-68.20616393,,,3.0
287,IBERDROLA A,FISCAL,EDUCACIÓN REGULAR,SAN PEDRO - SAN PABLO ANEXO SAN PABLO,PLAZA 16 DE FEBRERO S/N,-16.59217339,-68.18830276,,,8.0
288,IBERDROLA B,FISCAL,EDUCACIÓN REGULAR,SAN PEDRO - SAN PABLO ANEXO SAN PABLO,PLAZA 16 DE FEBRERO S/N,-16.59217339,-68.18830276,,,8.0
289,18 DE DICIEMBRE B,FISCAL,EDUCACIÓN REGULAR,SENKATA,18 DE DICIEMBRE,-16.58659935,-68.17818451,,,8.0
290,18 DE DICIEMBRE A,FISCAL,EDUCACIÓN REGULAR,SENKATA,18 DE DICIEMBRE,-16.58659935,-68.17818451,,,8.0
291,COMANDANTE ERNESTO CHE GUEVARA A,FISCAL,EDUCACIÓN REGULAR,URB. 14 DE SEPTIEMBRE B,CAMINO A ORURO,-16.60955531,-68.17459559,,,8.0
292,COMANDANTE ERNESTO CHE GUEVARA B,FISCAL,EDUCACIÓN REGULAR,URB. 14 DE SEPTIEMBRE B,CAMINO A ORURO,-16.60955531,-68.17459559,,,8.0
293,NUEVO AMANECER DE FE Y ALEGRIA A,CONVENIO,EDUCACIÓN REGULAR,URB. NUEVO AMANECER,AV. NATURALEZA Nº 100,-16.56850052,-68.22084808,,,8.0
294,NUEVO AMANECER DE FE Y ALEGRIA B,CONVENIO,EDUCACIÓN REGULAR,URB. NUEVO AMANECER,AV. NATURALEZA Nº 100,-16.56850052,-68.22084808,,,8.0
295,CANDELARIA,CONVENIO,EDUCACIÓN REGULAR,VILLA CANDELARIA,CALLE TIMUSI ESQUINA QUEBRADA S/N,-16.53000069,-68.21099854,,,3.0
296,AMERICA I,FISCAL,EDUCACIÓN REGULAR,URBANIZACION AMERICA,CALLE JUANCITO PINTO S/N,-16.5468998,-68.23065948,,,12.0
297,MERCEDES ELIO DE RIVERO A,FISCAL,EDUCACIÓN REGULAR,URBANIZACION RIVERO,AVENIDA REPUBLICA BOLIVARIANA DE VENEZUELA N° 1125,-16.55669975,-68.23155212,,,12.0
298,MERCEDES ELIO DE RIVERO B,FISCAL,EDUCACIÓN REGULAR,URBANIZACION RIVERO,AVENIDA REPUBLICA BOLIVARIANA DE VENEZUELA N° 1125,-16.55669975,-68.23155212,,,12.0
299,PUERTO DE GUAQUI TARDE,FISCAL,EDUCACIÓN REGULAR,ALTO LIMA 2 DA SECCION,CALLE HUAYNA POTOSI Nro 100,-16.47599983,-68.17359161,,,6.0
300,PUERTO DE GUAQUI MAÑANA,FISCAL,EDUCACIÓN REGULAR,ALTO LIMA 2 DA SECCION,CALLE HUAYNA POTOSI Nro 100,-16.47599983,-68.17359161,,,6.0
301,16 DE FEBRERO A,FISCAL,EDUCACIÓN REGULAR,URBANIZACION 16 DE FEBRERO,CALLE LUIS ESPINAL S/N,-16.50329971,-68.22742462,,,4.0
302,16 DE FEBRERO B,FISCAL,EDUCACIÓN REGULAR,URBANIZACION 16 DE FEBRERO,CALLE LUIS ESPINAL S/N,-16.50329971,-68.22742462,,,4.0
303,ADRIAN CASTILLO NAVA A,FISCAL,EDUCACIÓN REGULAR,ALTO LIMA 3RA. SECCION,AV. SUCRE S/N,-16.48159981,-68.18643188,,,6.0
304,25 DE JULIO SENKATA B,FISCAL,EDUCACIÓN REGULAR,URBANIZACION 25 DE JULIO,AV. MARISCAL BRAUN S/N,-16.58181738,-68.18310165,,,8.0
305,25 DE JULIO SENKATA A,FISCAL,EDUCACIÓN REGULAR,URBANIZACION 25 DE JULIO,AV. MARISCAL BRAUN S/N,-16.58181738,-68.18310165,,,8.0
306,SAN ANTONIO A,FISCAL,EDUCACIÓN REGULAR,SENKATA PUCARANI,AVENIDA PERIFERICA ENTRE ANKOHUMA,-16.58250046,-68.18673706,,,8.0
307,SAN ANTONIO B,FISCAL,EDUCACIÓN REGULAR,SENKATA PUCARANI,AVENIDA PERIFERICA ENTRE ANKOHUMA,-16.58250046,-68.18673706,,,8.0
308,SAN JUAN MAÑANA,FISCAL,EDUCACIÓN REGULAR,URBANIZACION CALAMA,CALLE 9 S/N PLAZA LA BANBERA,-16.52169991,-68.19724274,,,3.0
309,SAN JUAN TARDE,FISCAL,EDUCACIÓN REGULAR,URBANIZACION CALAMA,CALLE 9 S/N PLAZA LA BANBERA,-16.52169991,-68.19724274,,,3.0
310,BOLIVIANO HOLANDES,PRIVADA,EDUCACIÓN REGULAR,CIUDAD SATELITE TEJADA ALPACOMA,AV. DIEGO DE OCAÑA Nro 200,-16.53000069,-68.15184021,,,1.0
311,METODISTA ANDINO,CONVENIO,EDUCACIÓN REGULAR,VILLA COMPLEMENTO YUNGUYO,AV. EMILIO ABREU GOMEZ Nº 2684,-16.49160004,-68.22433472,,,4.0
312,31 DE OCTUBRE B,FISCAL,EDUCACIÓN REGULAR,31 DE OCTUBRE,CALLES VILOCO Y SAYAQUIRA S/N,-16.62010002,-68.18888092,,,8.0
313,31 DE OCTUBRE A,FISCAL,EDUCACIÓN REGULAR,31 DE OCTUBRE,CALLES VILOCO Y SAYAQUIRA S/N,-16.62010002,-68.18888092,,,8.0
314,OSCAR ALFARO B MAÑANA,FISCAL,EDUCACIÓN REGULAR,BAUTISTA SAAVEDRA,Av. JOSE BALLIVIAN Nro. 200,-16.49080086,-68.2363739,,,14.0
315,OSCAR ALFARO B,FISCAL,EDUCACIÓN REGULAR,BAUTISTA SAAVEDRA,Av. JOSE BALLIVIAN Nro. 200,-16.49080086,-68.2363739,,,14.0
316,BRASILIA NOCHE,FISCAL,EDUCACIÓN REGULAR,	SANTIAGO 1RO,PLAZA TRIANGULAR CALLE BADANI S/N,-16.51869965,-68.1598053,,,1.0
317,BRASILIA MAÑANA,FISCAL,EDUCACIÓN REGULAR,	SANTIAGO 1RO,PLAZA TRIANGULAR CALLE BADANI S/N,-16.51869965,-68.1598053,,,1.0
318,BRASILIA TARDE,FISCAL,EDUCACIÓN REGULAR,	SANTIAGO 1RO,PLAZA TRIANGULAR CALLE BADANI S/N,-16.51869965,-68.1598053,,,1.0
319,MARISCAL DE ZEPITA TARDE,FISCAL,EDUCACIÓN REGULAR,ANEXO VILLA TUNARI,"CALLE 9, G ENTRE AV. COSTANERA S/N",-16.49850082,-68.20680237,,,4.0
320,MARISCAL. DE ZEPITA MAÑANA,FISCAL,EDUCACIÓN REGULAR,ANEXO VILLA TUNARI,"CALLE 9, G ENTRE AV. COSTANERA S/N",-16.49850082,-68.20680237,,,4.0
321,ANDRES BELLO MAÑANA,FISCAL,EDUCACIÓN REGULAR,VILLA BOLIVAR A,CALLE TELLEZ ROSS S/N,-16.51169968,-68.16716003,,,1.0
322,ANDRES BELLO TARDE,FISCAL,EDUCACIÓN REGULAR,VILLA BOLIVAR A,CALLE TELLEZ ROSS S/N,-16.51169968,-68.16716003,,,1.0
323,MCAL. ANTONIO JOSE DE SUCRE TARDE,FISCAL,EDUCACIÓN REGULAR,"MARISCAL SUCRE MILLUNI BAJO SECTOR ""A""",AV. DEMETRIO CANELAS S/N,-16.47750092,-68.22254944,,,5.0
324,MCAL. ANTONIO JOSE DE SUCRE MAÑANA,FISCAL,EDUCACIÓN REGULAR,"MARISCAL SUCRE MILLUNI BAJO SECTOR ""A""",AV. DEMETRIO CANELAS S/N,-16.47750092,-68.22254944,,,5.0
325,ANDRES BELLO,FISCAL,EDUCACIÓN REGULAR,CIUDAD SATELITE,PLAN 361 CALLE 5 S/N,-16.52669907,-68.15572357,,,1.0
326,HEROES DEL PACIFICO,FISCAL,EDUCACIÓN REGULAR,CIUDAD SATELITE,PLAN 361 CALLE 5 S/N,-16.52669907,-68.15572357,,,1.0
327,ADVENTISTA SHALOM,PRIVADA,EDUCACIÓN REGULAR,25 DE JULIO SENKATA,CALLE COVENDO Nro 3304,-16.58279991,-68.18159485,,,8.0
328,6 DE AGOSTO,FISCAL,EDUCACIÓN REGULAR,CIUDAD SATELITE,PLAN 361 CALLES 3 Y 4,-16.5291996,-68.15756226,,,1.0
